Nested Sampling Global Log-Evidence           :   -0.122874066121596172E+03  +/-    0.180568508985959747E+00
Nested Importance Sampling Global Log-Evidence:   -0.122300332085509012E+03  +/-    0.120378437225307361E+00

Dim No.       Mean        Sigma
   1    0.544825971322573963E+02    0.180938551120910880E+02
   2   -0.779727372900343880E+02    0.944067509006553429E+01
   3    0.983214920542562538E+02    0.156710214145859195E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.696570362598373265E+02
   2   -0.844787068555941403E+02
   3    0.997772802602960951E+02

MAP Parameters
Dim No.        Parameter
   1    0.696570362598373265E+02
   2   -0.844787068555941403E+02
   3    0.997772802602960951E+02
